Symbol,Description,Sector,Exchange,Index,Industry,Market capitalization,Market capitalization - Currency
LLY,Eli Lilly and Company,Health Technology,NYSE,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Pharmaceuticals: Major,763089979870.4258,USD
NVO,Novo Nordisk A/S,Health Technology,NYSE,,Pharmaceuticals: Major,596586266144.7587,USD
JNJ,Johnson & Johnson,Health Technology,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Health Care, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, NYSE Arca Major Market",Pharmaceuticals: Major,369425270497.785,USD
MRK,"Merck & Company, Inc.",Health Technology,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Health Care, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",Pharmaceuticals: Major,332050872622.6193,USD
ABBV,AbbVie Inc.,Health Technology,NYSE,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Pharmaceuticals: Major,281850146544.68604,USD
AZN,AstraZeneca PLC,Health Technology,NASDAQ,"NASDAQ 100, NASDAQ Composite, NASDAQ Biotechnology",Pharmaceuticals: Major,243613907909.25296,USD
TMO,Thermo Fisher Scientific Inc,Health Technology,NYSE,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000",Medical Specialties,225517993250.69543,USD
NVS,Novartis AG,Health Technology,NYSE,,Pharmaceuticals: Major,203837398049.7204,USD
DHR,Danaher Corporation,Health Technology,NYSE,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Medical Specialties,197904039442.35413,USD
ABT,Abbott Laboratories,Health Technology,NYSE,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Medical Specialties,182348412147.88052,USD
PFE,"Pfizer, Inc.",Health Technology,NYSE,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Pharmaceuticals: Major,167731142957.1709,USD
AMGN,Amgen Inc.,Health Technology,NASDAQ,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Health Care, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, NASDAQ Biotechnology, S&P 500 ESG",Pharmaceuticals: Major,165978261387.8644,USD
ISRG,"Intuitive Surgical, Inc.",Health Technology,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Health Care, Russell 3000, Russell 1000",Medical Specialties,142201554267.8737,USD
SYK,Stryker Corporation,Health Technology,NYSE,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Medical Specialties,127778174980.47528,USD
SNY,Sanofi,Health Technology,NASDAQ,"NASDAQ Composite, NASDAQ Biotechnology",Biotechnology,122903379349.21484,USD
VRTX,Vertex Pharmaceuticals Incorporated,Health Technology,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Health Care, Russell 3000, Russell 1000, NASDAQ Biotechnology",Pharmaceuticals: Major,115486640680.86632,USD
MDT,Medtronic plc.,Health Technology,NYSE,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Medical Specialties,113874055988.91629,USD
BSX,Boston Scientific Corporation,Health Technology,NYSE,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Medical Specialties,110807458766.18144,USD
REGN,"Regeneron Pharmaceuticals, Inc.",Health Technology,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Health Care, Russell 3000, Russell 1000, NASDAQ Biotechnology, S&P 500 ESG",Pharmaceuticals: Major,108382653027.0587,USD
GSK,GSK plc,Health Technology,NYSE,,Pharmaceuticals: Major,91016434505.889,USD
BMY,Bristol-Myers Squibb Company,Health Technology,NYSE,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Pharmaceuticals: Major,85827419064.37285,USD
GILD,"Gilead Sciences, Inc.",Health Technology,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000, NASDAQ Biotechnology, S&P 500 ESG",Biotechnology,84468852956.10342,USD
ZTS,Zoetis Inc.,Health Technology,NYSE,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Pharmaceuticals: Major,78505575011.85226,USD
BDX,"Becton, Dickinson and Company",Health Technology,NYSE,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Medical Specialties,67757567003.10482,USD
MRNA,"Moderna, Inc.",Health Technology,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Health Care, Russell 3000, Russell 1000, NASDAQ Biotechnology, S&P 500 ESG",Biotechnology,62594543808.832275,USD
MMM,3M Company,Health Technology,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Industrials, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, NYSE Arca Major Market",Medical Specialties,56160634664.70331,USD
EW,Edwards Lifesciences Corporation,Health Technology,NYSE,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Medical Specialties,54360541594.34889,USD
DXCM,"DexCom, Inc.",Health Technology,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Health Care, Russell 3000, Russell 1000",Medical Specialties,51909669906.705055,USD
ALC,Alcon Inc.,Health Technology,NYSE,,Medical Specialties,45347777484.230484,USD
